number,label
+616773444958,not_spam
+448888888888,spam
+810000000000,spam
+449528131974,not_spam
+818160968842,not_spam
+814264084943,not_spam
+13338102811,not_spam
+612229578141,not_spam
+10407162396,not_spam
+611720757528,not_spam
+914219073524,not_spam
+617409201323,not_spam
+442873340054,not_spam
+816687885813,not_spam
+814153159555,not_spam
+619999999999,spam
+814840849885,not_spam
+810000000000,spam
+442026712725,not_spam
+815567734913,not_spam
+449999999999,spam
+449999999999,spam
+812671700840,not_spam
+912692589500,not_spam
+810857218417,not_spam
+441199946824,not_spam
+810225289351,not_spam
+440000000000,spam
+441231231231,spam
+448888888888,spam
+11353798259,not_spam
+819999999999,spam
+811467365455,not_spam
+614772268638,not_spam
+11231231231,spam
+612742026118,not_spam
+445202702902,not_spam
+18888888888,spam
+819967464637,not_spam
+449999999999,spam
+14996822112,not_spam
+616355227860,not_spam
+810331403783,not_spam
+817418707018,not_spam
+819999999999,spam
+441277871601,not_spam
+618888888888,spam
+440000000000,spam
+611231231231,spam
+447366100928,not_spam
+441231231231,spam
+919343115321,not_spam
+817119633481,not_spam
+618208801091,not_spam
+618970473628,not_spam
+810000000000,spam
+611231231231,spam
+448888888888,spam
+611293159819,not_spam
+919748175923,not_spam
+619999999999,spam
+915516098654,not_spam
+910197020357,not_spam
+910992029123,not_spam
+810000000000,spam
+911940092308,not_spam
+448888888888,spam
+440000000000,spam
+447284866314,not_spam
+18067135711,not_spam
+913149195632,not_spam
+911231231231,spam
+818888888888,spam
+445852640658,not_spam
+910626167835,not_spam
+916554033218,not_spam
+917676202081,not_spam
+10000000000,spam
+448888888888,spam
+441791604477,not_spam
+919764697691,not_spam
+17664664625,not_spam
+616708702468,not_spam
+914032376640,not_spam
+915060596293,not_spam
+818301172823,not_spam
+613629216559,not_spam
+618888888888,spam
+619999999999,spam
+610000000000,spam
+619623210297,not_spam
+440191364259,not_spam
+10000000000,spam
+818527049036,not_spam
+448642679850,not_spam
+618888888888,spam
+449999999999,spam
+445976122357,not_spam
+17431676795,not_spam
+443905475285,not_spam
+612416588828,not_spam
+10000000000,spam
+818055149264,not_spam
+14486254851,not_spam
+817422449888,not_spam
+819999999999,spam
+18888888888,spam
+817651833147,not_spam
+10376952586,not_spam
+11231231231,spam
+10000000000,spam
+441231231231,spam
+915753849863,not_spam
+911231231231,spam
+441671232610,not_spam
+812171676148,not_spam
+11231231231,spam
+917012169909,not_spam
+815047589087,not_spam
+811231231231,spam
+819427005916,not_spam
+910000000000,spam
+18488141199,not_spam
+448805423125,not_spam
+19999999999,spam
+911100200273,not_spam
+918758949667,not_spam
+914531290399,not_spam
+818888888888,spam
+18888888888,spam
+911231231231,spam
+18986331751,not_spam
+440000000000,spam
+447538033714,not_spam
+813078948005,not_spam
+440000000000,spam
+14073751978,not_spam
+812733177352,not_spam
+10190189218,not_spam
+813668604347,not_spam
+918888888888,spam
+18888888888,spam
+11986519208,not_spam
+441085773481,not_spam
+444378193227,not_spam
+19381518443,not_spam
+811231231231,spam
+443626037304,not_spam
+12412704481,not_spam
+812418661302,not_spam
+912735659996,not_spam
+449958872452,not_spam
+18814064612,not_spam
+819610907312,not_spam
+610000000000,spam
+12419269901,not_spam
+18888888888,spam
+910000000000,spam
+612620948722,not_spam
+610000000000,spam
+445236306618,not_spam
+610000000000,spam
+910000000000,spam
+448186148354,not_spam
+16936348130,not_spam
+815771259724,not_spam
+18888888888,spam
+919999999999,spam
+19275403522,not_spam
+442584305481,not_spam
+819420772483,not_spam
+918091255042,not_spam
+13486885965,not_spam
+18888888888,spam
+818888888888,spam
+10000000000,spam
+449757526042,not_spam
+612620962364,not_spam
+444069044245,not_spam
+619999999999,spam
+816734723826,not_spam
+441231231231,spam
+441009302393,not_spam
+816126704017,not_spam
+440881803778,not_spam
+11231231231,spam
+918888888888,spam
+443625422934,not_spam
+815004118358,not_spam
+14953880611,not_spam
+610000000000,spam
+15320164559,not_spam
+16988381456,not_spam
+819196599882,not_spam
+916695299376,not_spam
+910221838988,not_spam
+612484843815,not_spam
+13434248468,not_spam
+443174498107,not_spam
+611160697217,not_spam
+448459880592,not_spam
+11231231231,spam
+813071025643,not_spam
+13664754481,not_spam
+11598346735,not_spam
+442438102898,not_spam
+919999999999,spam
+918474903220,not_spam
+446614812470,not_spam
+819999999999,spam
+610000000000,spam
+912829482726,not_spam
+11506332149,not_spam
+818911946746,not_spam
+817943880266,not_spam
+814193447155,not_spam
+18888888888,spam
+819064207031,not_spam
+918888888888,spam
+911231231231,spam
+18432460870,not_spam
+914074780567,not_spam
+815421357638,not_spam
+444298296950,not_spam
+919999999999,spam
+619999999999,spam
+918888888888,spam
+15156429786,not_spam
+14000208131,not_spam
+911231231231,spam
+610000000000,spam
+449999999999,spam
+16263428127,not_spam
+619999999999,spam
+911231231231,spam
+616118188163,not_spam
+616123193184,not_spam
+610000000000,spam
+610000000000,spam
+915771170438,not_spam
+911231231231,spam
+441490489345,not_spam
+18888888888,spam
+911231231231,spam
+610202875626,not_spam
+916303110514,not_spam
+619738560007,not_spam
+919088615619,not_spam
+919516393437,not_spam
+911231231231,spam
+12794149016,not_spam
+449443101869,not_spam
+10000000000,spam
+812068029563,not_spam
+613565133938,not_spam
+919999999999,spam
+449999999999,spam
+16405847104,not_spam
+615693196658,not_spam
+448207037716,not_spam
+10000000000,spam
+441231231231,spam
+914246292912,not_spam
+18888888888,spam
+447225998988,not_spam
+813683875048,not_spam
+442388653148,not_spam
+618888888888,spam
+448888888888,spam
+911655163350,not_spam
+918674957999,not_spam
+11998705874,not_spam
+10000000000,spam
+817752269763,not_spam
+614639602902,not_spam
+611231231231,spam
+441231231231,spam
+912072799065,not_spam
+919999999999,spam
+618574327149,not_spam
+914572880558,not_spam
+818888888888,spam
+441231231231,spam
+11231231231,spam
+618888888888,spam
+816308894934,not_spam
+19999999999,spam
+919318765963,not_spam
+610000000000,spam
+910000000000,spam
+611231231231,spam
+446280349222,not_spam
+917497611825,not_spam
+619999999999,spam
+917894787506,not_spam
+14647955101,not_spam
+618127257960,not_spam
+11231231231,spam
+19834884519,not_spam
+448846527693,not_spam
+919999999999,spam
+810000000000,spam
+810000000000,spam
+810868401198,not_spam
+18888888888,spam
+817759762143,not_spam
+619999999999,spam
+441231231231,spam
+441581444282,not_spam
+443940042406,not_spam
+610000000000,spam
+440006856252,not_spam
+910978436225,not_spam
+440000000000,spam
+818888888888,spam
+813135572362,not_spam
+817720006185,not_spam
+919128473627,not_spam
+814644816907,not_spam
+910000000000,spam
+910508442225,not_spam
+448888888888,spam
+911633673188,not_spam
+911231231231,spam
+441231231231,spam
+810792485178,not_spam
+617458507832,not_spam
+12530982400,not_spam
+443908868347,not_spam
+10405438372,not_spam
+913834882562,not_spam
+811706201583,not_spam
+612258008478,not_spam
+811276672642,not_spam
+915970373421,not_spam
+919377727128,not_spam
+813679300153,not_spam
+813666933579,not_spam
+819418415006,not_spam
+14266834371,not_spam
+440000000000,spam
+811231231231,spam
+811854728060,not_spam
+440273563080,not_spam
+919999999999,spam
+610000000000,spam
+818772394307,not_spam
+10000000000,spam
+10000000000,spam
+613863259481,not_spam
+910000000000,spam
+14254560541,not_spam
+918888888888,spam
+441402737869,not_spam
+613888299168,not_spam
+446830526237,not_spam
+913495731608,not_spam
+814757879340,not_spam
+19979012520,not_spam
+19999999999,spam
+448888888888,spam
+17098019784,not_spam
+617074760878,not_spam
+619959692652,not_spam
+910046545418,not_spam
+918888888888,spam
+815645642659,not_spam
+441231231231,spam
+811201497795,not_spam
+19773424577,not_spam
+611651206177,not_spam
+818888888888,spam
+919999999999,spam
+19999999999,spam
+448284804111,not_spam
+619931418012,not_spam
+449999999999,spam
+619999999999,spam
+619307941137,not_spam
+613712488277,not_spam
+619920820971,not_spam
+910000000000,spam
+17467777540,not_spam
+10000000000,spam
+619999999999,spam
+610000000000,spam
+449999999999,spam
+443209137302,not_spam
+17481748861,not_spam
+446659657160,not_spam
+819999999999,spam
+440592593960,not_spam
+913916093884,not_spam
+614643290601,not_spam
+18888888888,spam
+441312505621,not_spam
+618672262845,not_spam
+818888888888,spam
+911909615409,not_spam
+441043309786,not_spam
+914650967811,not_spam
+810506638895,not_spam
+816476757063,not_spam
+618888888888,spam
+441104540129,not_spam
+811231231231,spam
+811231231231,spam
+618888888888,spam
+811128547810,not_spam
+610152100606,not_spam
+10000000000,spam
+618888888888,spam
+810000000000,spam
+811231231231,spam
+446551481011,not_spam
+449999999999,spam
+18888888888,spam
+619511380111,not_spam
+17868452222,not_spam
+919308726244,not_spam
+10000000000,spam
+915426931655,not_spam
+610000000000,spam
+611231231231,spam
+446476733330,not_spam
+613970093068,not_spam
+442057433603,not_spam
+614863190426,not_spam
+910000000000,spam
+917543352651,not_spam
+14397555218,not_spam
+611210180051,not_spam
+919999999999,spam
+443713383425,not_spam
+442915609838,not_spam
+448777217515,not_spam
+16522210908,not_spam
+618888888888,spam
+817081582632,not_spam
+448888888888,spam
+614795832070,not_spam
+816513761030,not_spam
+911231231231,spam
+441231231231,spam
+618888888888,spam
+447730043064,not_spam
+811231231231,spam
+815530451025,not_spam
+16426846867,not_spam
+449361075463,not_spam
+815772682667,not_spam
+11231231231,spam
+18888888888,spam
+614606864217,not_spam
+18863543351,not_spam
+618888888888,spam
+440000000000,spam
+618888888888,spam
+617581838299,not_spam
+815945024693,not_spam
+616715875177,not_spam
+911739891366,not_spam
+447028648087,not_spam
+919254896232,not_spam
+19999999999,spam
+911748820341,not_spam
+445035464408,not_spam
+18745302739,not_spam
+814795377709,not_spam
+819332937219,not_spam
+19999999999,spam
+14098214858,not_spam
+814039580578,not_spam
+440000000000,spam
+819999999999,spam
+441973839549,not_spam
+447499467365,not_spam
+444205678594,not_spam
+918888888888,spam
+916478530267,not_spam
+444870700411,not_spam
+614674526575,not_spam
+811231231231,spam
+12194109315,not_spam
+913611250730,not_spam
+815643586143,not_spam
+619145760367,not_spam
+18888888888,spam
+611079738502,not_spam
+14550151589,not_spam
+11231231231,spam
+10145036032,not_spam
+910698713421,not_spam
+811231231231,spam
+613671354360,not_spam
+440000000000,spam
+610000000000,spam
+11231231231,spam
+442277333456,not_spam
+918888888888,spam
+811231231231,spam
+915090818439,not_spam
+11659750805,not_spam
+810949396198,not_spam
+916852255938,not_spam
+916493916746,not_spam
+819999999999,spam
+10000000000,spam
+918888888888,spam
+810000000000,spam
+910934838223,not_spam
+914878467337,not_spam
+612390819579,not_spam
+616522017104,not_spam
+611231231231,spam
+611041484088,not_spam
+444313217856,not_spam
+918888888888,spam
+448525884789,not_spam
+15965537281,not_spam
+918888888888,spam
+910000000000,spam
+610334635577,not_spam
+18888888888,spam
+11231231231,spam
+619999999999,spam
+617299409929,not_spam
+441360391184,not_spam
+918771937632,not_spam
+811231231231,spam
+814385733773,not_spam
+818888888888,spam
+911231231231,spam
+443734860029,not_spam
+449211242187,not_spam
+911231231231,spam
+440000000000,spam
+815160413049,not_spam
+810241446251,not_spam
+441231231231,spam
+449999999999,spam
+619999999999,spam
+17919550942,not_spam
+914612152722,not_spam
+810000000000,spam
+612544194541,not_spam
+449999999999,spam
+910297742328,not_spam
+917243087280,not_spam
+911023482135,not_spam
+914408686106,not_spam
+912602479461,not_spam
+919999999999,spam
+813354671047,not_spam
+14515174594,not_spam
+618888888888,spam
+12632116511,not_spam
+814247351814,not_spam
+810000000000,spam
+819999999999,spam
+615719164036,not_spam
+919354169591,not_spam
+448888888888,spam
+911231231231,spam
+914255403214,not_spam
+811231231231,spam
+619999999999,spam
+441231231231,spam
+19876681365,not_spam
+916717285498,not_spam
+440110493921,not_spam
+814367350525,not_spam
+16358121176,not_spam
+449999999999,spam
+913276951322,not_spam
+815133521985,not_spam
+915952216883,not_spam
+440917972825,not_spam
+811757809203,not_spam
+910000000000,spam
+16009809207,not_spam
+910000000000,spam
+918888888888,spam
+443097131360,not_spam
+11231231231,spam
+15351962268,not_spam
+611231231231,spam
+16903047817,not_spam
+911231231231,spam
+813838037444,not_spam
+443883706713,not_spam
+813091470228,not_spam
+17838948513,not_spam
+812038554062,not_spam
+443253920467,not_spam
+811231231231,spam
+819088332313,not_spam
+816223003732,not_spam
+449999999999,spam
+816749725925,not_spam
+447765641672,not_spam
+10000000000,spam
+915539298167,not_spam
+447966501527,not_spam
+911231231231,spam
